date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:25	260896/260896	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2015:36:30%20GMT	https://www.hdi.de/privatkunden/service/schadenmeldung/hausrat-gebaeude-glas.produktanfrage	C:/My%20Web%20Sites/HDI/www.hdi.de/privatkunden/service/schadenmeldung/hausrat-gebaeude-glas.html	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:26	241164/241164	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2021:13:36%20GMT	https://www.hdi.de/privatkunden/service/schadenmeldung/unfall	C:/My%20Web%20Sites/HDI/www.hdi.de/privatkunden/service/schadenmeldung/unfall.html	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:26	252802/252802	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2021:13:36%20GMT	https://www.hdi.de/privatkunden/service/schadenmeldung/reisegepaeck-sonstiges	C:/My%20Web%20Sites/HDI/www.hdi.de/privatkunden/service/schadenmeldung/reisegepaeck-sonstiges.html	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:26	236285/236285	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2016:41:56%20GMT	https://www.hdi.de/privatkunden/service/schadenmeldung/reiseruecktritt	C:/My%20Web%20Sites/HDI/www.hdi.de/privatkunden/service/schadenmeldung/reiseruecktritt.html	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:27	250328/250328	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2016:41:59%20GMT	https://www.hdi.de/privatkunden/service/schadenmeldung/bauleistung	C:/My%20Web%20Sites/HDI/www.hdi.de/privatkunden/service/schadenmeldung/bauleistung.html	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:27	860/860	---M--	200	added ('OK')	image/png	etag:%22d28e38b68b6d10ad613e2c50abe4a4c569dece82%22	https://www.hdi.de/transform/XLXIquWy6aVgdUun0cFV2VMiizY=/280x0/images/custom/search/no-image-default.png	C:/My%20Web%20Sites/HDI/www.hdi.de/transform/XLXIquWy6aVgdUun0cFV2VMiizY=/280x0/images/custom/search/no-image-default.png	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:28	73834/73834	---M--	200	added ('OK')	image/jpeg	etag:%2279ac26cdc11d5ac366ecd292f8bca758524d7fe4%22	https://www.hdi.de/transform/BkPJGlhRWNpsR4-VN29eV9AXnqs=/2560x640/images/4x1/header/ratgeber-schaden-melden-handy-hand.jpg	C:/My%20Web%20Sites/HDI/www.hdi.de/transform/BkPJGlhRWNpsR4-VN29eV9AXnqs=/2560x640/images/4x1/header/ratgeber-schaden-melden-handy-hand.jpg	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:28	24065/24065	---M--	200	added ('OK')	image/jpeg	etag:%2292d9a2eabea487ec626c7a8e44e55a1b0196e943%22	https://www.hdi.de/transform/u5uvACnHrvz6rfqiz9CrC0Vv5D4=/1180x295/images/4x1/header/ratgeber-schaden-melden-handy-hand.jpg	C:/My%20Web%20Sites/HDI/www.hdi.de/transform/u5uvACnHrvz6rfqiz9CrC0Vv5D4=/1180x295/images/4x1/header/ratgeber-schaden-melden-handy-hand.jpg	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:28	23780/23780	---M--	200	added ('OK')	image/jpeg	etag:%22d465ca2b421bd02472a7444b55554506d90e19e6%22	https://www.hdi.de/transform/vArq3bkh1q_Y2riYMU8M7VvwWJE=/996x332/images/3x1/header/ratgeber-schaden-melden-handy-hand.jpg	C:/My%20Web%20Sites/HDI/www.hdi.de/transform/vArq3bkh1q_Y2riYMU8M7VvwWJE=/996x332/images/3x1/header/ratgeber-schaden-melden-handy-hand.jpg	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:28	25596/25596	---M--	200	added ('OK')	image/jpeg	etag:%22758d693c1a25be90809eba14f80cb9ad97b662d1%22	https://www.hdi.de/transform/XyGZp3npzy9l0z2UjjfWTMng6wQ=/768x512/images/3x2/header/ratgeber-schaden-melden-handy-hand.jpg	C:/My%20Web%20Sites/HDI/www.hdi.de/transform/XyGZp3npzy9l0z2UjjfWTMng6wQ=/768x512/images/3x2/header/ratgeber-schaden-melden-handy-hand.jpg	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:29	912/912	---M--	200	added ('OK')	image/png	etag:W/%22912-1521543214000%22	https://www.hdi.de/static/shared/img/hdi_logo.png?version=v2.9.1	C:/My%20Web%20Sites/HDI/www.hdi.de/static/shared/img/hdi_logoed9b.png	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:29	10782/10782	---M--	200	added ('OK')	image/png	etag:W/%2210782-1521543214000%22	https://www.hdi.de/static/shared/img/hammer.png	C:/My%20Web%20Sites/HDI/www.hdi.de/static/shared/img/hammer.png	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:29	550/550	---M--	200	added ('OK')	image/png	etag:W/%22550-1521543214000%22	https://www.hdi.de/static/shared/img/PDF_icon.png	C:/My%20Web%20Sites/HDI/www.hdi.de/static/shared/img/PDF_icon.png	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:30	566/566	---M--	200	added ('OK')	image/png	etag:W/%22566-1521543214000%22	https://www.hdi.de/static/shared/img/calculator_icon.png?version=v2.9.1	C:/My%20Web%20Sites/HDI/www.hdi.de/static/shared/img/calculator_iconed9b.png	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:31	375966/375966	---M-Z	200	added ('OK')	application/javascript	etag:W/%22375966-1521543214000%22	https://www.hdi.de/static/shared/js/plugins.js?version=v2.9.1	C:/My%20Web%20Sites/HDI/www.hdi.de/static/shared/js/pluginsed9b.js	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:32	727122/727122	---M-Z	200	added ('OK')	application/javascript	etag:W/%22727122-1521543214000%22	https://www.hdi.de/static/shared/main-bundle.js?version=v2.9.1	C:/My%20Web%20Sites/HDI/www.hdi.de/static/shared/main-bundleed9b.js	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:32	249634/249634	---M-Z	200	added ('OK')	application/javascript	etag:W/%22249634-1521543214000%22	https://www.hdi.de/static/shared/styles-bundle.js?version=v2.9.1	C:/My%20Web%20Sites/HDI/www.hdi.de/static/shared/styles-bundleed9b.js	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
16:15:32	82822/82822	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Apr%202018%2015:41:37%20GMT	https://www.hdi.de/static/shared/img/layout/sprite.png	C:/My%20Web%20Sites/HDI/www.hdi.de/static/shared/img/layout/sprite.png	(from https://www.hdi.de/static/shared/css/external.min.css?version=v2.9.1)
16:15:33	1085/1085	---M-Z	200	added ('OK')	application/javascript	etag:W/%221085-1521543214000%22	https://www.hdi.de/static/shared/forms-top.js?version=v2.9.1	C:/My%20Web%20Sites/HDI/www.hdi.de/static/shared/forms-toped9b.js	(from https://www.hdi.de/privatkunden/service/schadenmeldung/kraftfahrt-produktanfrage)
16:15:34	25869/25869	---M--	200	added ('OK')	image/jpeg	etag:%22a23a2e5bd8051e3ced8435cb20fd841b73e92979%22	https://www.hdi.de/transform/6rCRFNWKfp6gno3a9qfaPBVKgEk=/642x0/images/custom/de/privatkunden/service/schadenservice/kraftfahrt/logo-junited-autoglas.jpg	C:/My%20Web%20Sites/HDI/www.hdi.de/transform/6rCRFNWKfp6gno3a9qfaPBVKgEk=/642x0/images/custom/de/privatkunden/service/schadenservice/kraftfahrt/logo-junited-autoglas.jpg	(from https://www.hdi.de/privatkunden/service/schadenmeldung/kfz-glasschaden)
16:15:34	18517/18517	---M--	200	added ('OK')	image/jpeg	etag:%226b6426504229d442b8d8597246a0a2540f14e60e%22	https://www.hdi.de/transform/InjQMlqHG0DALRnKDxes9DQXEXA=/642x0/images/custom/de/privatkunden/service/schadenservice/kraftfahrt/logo-carglass.jpg	C:/My%20Web%20Sites/HDI/www.hdi.de/transform/InjQMlqHG0DALRnKDxes9DQXEXA=/642x0/images/custom/de/privatkunden/service/schadenservice/kraftfahrt/logo-carglass.jpg	(from https://www.hdi.de/privatkunden/service/schadenmeldung/kfz-glasschaden)
16:15:35	26228/26228	---M--	200	added ('OK')	image/jpeg	etag:%22ec99d691ac3510ef36f6228eb2783173a72dcdcc%22	https://www.hdi.de/transform/o4DN_YIfMr7Wxn1FQ6p3pkkmcHo=/642x0/images/custom/de/privatkunden/service/schadenservice/kraftfahrt/logo-ksautoglas.jpg	C:/My%20Web%20Sites/HDI/www.hdi.de/transform/o4DN_YIfMr7Wxn1FQ6p3pkkmcHo=/642x0/images/custom/de/privatkunden/service/schadenservice/kraftfahrt/logo-ksautoglas.jpg	(from https://www.hdi.de/privatkunden/service/schadenmeldung/kfz-glasschaden)
16:15:35	62/62	---M-Z	200	added ('OK')	text/css	etag:%221c-3e-5402ab12eed40%22	https://www.hdi.de/assets/components/webforms/overwrites.css	C:/My%20Web%20Sites/HDI/www.hdi.de/assets/components/webforms/overwrites.css	(from https://www.hdi.de/privatkunden/service/schadenmeldung/privathaftpflicht)
16:15:37	253073/253073	---M-Z	200	added ('OK')	application/javascript	etag:W/%22253073-1521543214000%22	https://www.hdi.de/static/shared/main-react-bundle.js?version=v2.9.1	C:/My%20Web%20Sites/HDI/www.hdi.de/static/shared/main-react-bundleed9b.js	(from https://www.hdi.de/privatkunden/service/schadenmeldung/index)
